"","ID_IPEDS","year","degree_bach","public","enroll_futg","grant_state","grant_federal","netprice"
"90",221999,2010,TRUE,FALSE,1600,1122384,2204907,18993
"91",222026,2010,FALSE,FALSE,74,0,249996,8692
"92",222053,2010,FALSE,TRUE,1414,1456974,3827036,6417
"93",222062,2010,FALSE,TRUE,1415,1885322,3732574,4508
"94",222099,2010,FALSE,FALSE,406,47200,1222220,9087
"95",222105,2010,FALSE,FALSE,22,0,29612,11612
"96",246202,2010,FALSE,FALSE,348,6500,1179023,21055
"97",248660,2010,FALSE,FALSE,39,0,126013,8075
"98",248925,2010,FALSE,TRUE,599,1030453,2056822,7993
"99",368443,2010,TRUE,FALSE,199,27322,1016927,26342
"100",368452,2010,TRUE,FALSE,115,7000,182607,16584
"101",376631,2010,FALSE,FALSE,25,0,80440,9671
"102",376677,2010,FALSE,FALSE,124,38195,573775,5442
"103",382771,2010,FALSE,FALSE,93,0,377548,14928
"104",382780,2010,FALSE,FALSE,289,0,966183,6553
"105",388043,2010,FALSE,FALSE,36,31373,169205,14528
"106",392798,2010,FALSE,FALSE,28,0,105409,7680
"107",392840,2010,TRUE,FALSE,49,131000,166526,17995
"108",404718,2010,FALSE,FALSE,113,0,365533,7170
"109",412599,2010,TRUE,FALSE,300,55171,1421007,20682
"110",416670,2010,FALSE,FALSE,98,0,315744,10506
"111",417789,2010,FALSE,FALSE,131,0,684500,9582
"112",418870,2010,FALSE,FALSE,198,4500,444185,20443
"113",418889,2010,FALSE,FALSE,74,118528,198673,22577
"114",428073,2010,FALSE,FALSE,19,0,82500,905
"115",440873,2010,FALSE,FALSE,92,5066,474950,15531
"116",443340,2010,TRUE,FALSE,83,0,345333,24549
"117",443359,2010,FALSE,FALSE,115,0,338823,16137
"118",443650,2010,FALSE,FALSE,29,0,124076,16207
"119",443766,2010,TRUE,FALSE,6,0,11837,27733
"120",444255,2010,TRUE,FALSE,315,57859,1234537,24978
"121",444468,2010,FALSE,FALSE,16,0,59213,8500
"122",445249,2010,FALSE,FALSE,137,27463,578180,21309
"123",446075,2010,FALSE,FALSE,26,9875,110059,4664
"124",446525,2010,FALSE,FALSE,182,12669,448758,29349
"125",448150,2010,FALSE,FALSE,101,0,375356,6915
"126",448664,2010,FALSE,FALSE,92,0,384968,14224
"127",449010,2010,TRUE,FALSE,255,323931,959949,31478
"128",449764,2010,TRUE,FALSE,39,0,84735,21319
"129",450289,2010,TRUE,FALSE,94,2667,486013,19701
"130",450535,2010,TRUE,FALSE,10,0,37576,20613
"131",451529,2010,FALSE,FALSE,42,0,132517,7742
"132",451538,2010,FALSE,FALSE,107,0,593850,6316
"133",451918,2010,FALSE,FALSE,129,0,335586,14406
"134",452124,2010,FALSE,FALSE,194,91278,404337,20118
"135",455567,2010,FALSE,FALSE,45,1334,180475,21455
"136",456029,2010,FALSE,FALSE,92,0,133431,15716
"137",456940,2010,FALSE,FALSE,58,2000,223042,18405
"138",458007,2010,FALSE,FALSE,78,0,270602,5595
"139",458803,2010,FALSE,FALSE,68,0,332337,11312
"140",458812,2010,FALSE,FALSE,43,0,170183,10914
"141",458821,2010,FALSE,FALSE,61,0,317690,11378
"142",459000,2010,FALSE,FALSE,68,0,362334,10728
"143",459073,2010,FALSE,FALSE,44,0,213941,11120
"144",219505,2011,TRUE,FALSE,14,0,43180,13016
"145",219578,2011,TRUE,FALSE,20,75838,37684,20137
"146",219587,2011,FALSE,FALSE,48,0,147881,13927
"147",219596,2011,FALSE,TRUE,265,343617,444772,5285
"148",219602,2011,TRUE,TRUE,1274,4411304,3289496,10985
"149",219639,2011,TRUE,FALSE,35,146250,50905,14075
"150",219709,2011,TRUE,FALSE,1153,1549250,826410,28870
"151",219718,2011,TRUE,FALSE,804,664900,667720,17142
"152",219790,2011,TRUE,FALSE,234,666250,461698,15546
"153",219806,2011,TRUE,FALSE,445,1484875,816613,16047
"154",219824,2011,FALSE,TRUE,1158,968205,3325905,7302
"155",219833,2011,TRUE,FALSE,306,1122125,723519,13748
"156",219879,2011,FALSE,TRUE,746,950328,2065283,5372
"157",219888,2011,FALSE,TRUE,883,1177082,2067386,6607
"158",219903,2011,FALSE,FALSE,1123,188996,4414782,19128
"159",219921,2011,FALSE,TRUE,134,239159,555180,6382
"160",219949,2011,TRUE,FALSE,191,621750,334918,16395
"161",219976,2011,TRUE,FALSE,629,1578344,783585,21085
"162",219994,2011,FALSE,TRUE,400,438566,499110,9688
"163",220002,2011,TRUE,FALSE,26,1000,124166,23839
"164",220057,2011,FALSE,TRUE,615,684411,1864800,9009
"165",220075,2011,TRUE,TRUE,2105,7233244,4659319,14688
"166",220118,2011,FALSE,FALSE,57,9000,175450,19222
"167",220127,2011,FALSE,TRUE,843,721531,1264821,5401
"168",220163,2011,FALSE,FALSE,39,0,109273,11031
"169",220181,2011,TRUE,FALSE,122,1e+05,388707,19632
"170",220206,2011,TRUE,FALSE,54,49000,128018,13736
"171",220215,2011,TRUE,FALSE,384,979027,762226,16257
"172",220251,2011,FALSE,TRUE,323,329440,756677,10424
"173",220279,2011,FALSE,TRUE,323,248045,449173,6805
"174",220312,2011,TRUE,FALSE,79,141375,307876,14703
"175",220321,2011,FALSE,TRUE,445,15447,499119,9890
"176",220394,2011,FALSE,TRUE,105,203000,470245,4450
"177",220400,2011,FALSE,TRUE,985,1169407,2903635,9647
"178",220464,2011,FALSE,FALSE,17,31245,39050,19070
"179",220473,2011,TRUE,FALSE,156,147000,344151,13391
"180",220491,2011,FALSE,FALSE,27,0,71983,15011
"181",220516,2011,TRUE,FALSE,174,384875,334355,17077
"182",220552,2011,TRUE,FALSE,256,313470,861929,26196
"183",220598,2011,TRUE,FALSE,599,552750,3754818,8491
"184",220604,2011,TRUE,FALSE,183,137875,460422,11029
"185",220613,2011,TRUE,FALSE,870,1630443,1369393,12300
"186",220631,2011,TRUE,FALSE,312,1327595,958412,11480
"187",220640,2011,FALSE,TRUE,259,250904,594997,5726
"188",220701,2011,TRUE,FALSE,360,1052157,1190154,9911
"189",220710,2011,TRUE,FALSE,293,1358168,633205,15844
"190",220756,2011,FALSE,TRUE,175,322094,341650,10540
"191",220765,2011,FALSE,FALSE,463,10000,1229072,9900
"192",220808,2011,TRUE,FALSE,94,232006,326319,20203
"193",220853,2011,FALSE,TRUE,692,594200,2588050,6436
"194",220862,2011,TRUE,TRUE,2497,9644174,6602961,11237
"195",220978,2011,TRUE,TRUE,3466,14552670,7976462,8855
"196",221050,2011,FALSE,TRUE,427,528880,635416,8002
"197",221096,2011,FALSE,TRUE,994,1068253,2130434,8746
"198",221102,2011,FALSE,TRUE,497,478862,804589,10155
"199",221148,2011,FALSE,FALSE,922,18000,2540430,19688
"200",221157,2011,FALSE,FALSE,189,10000,605140,21758
"201",221184,2011,FALSE,TRUE,875,551228,2986401,6260
"202",221236,2011,FALSE,TRUE,306,497432,1238472,4325
"203",221254,2011,TRUE,FALSE,23,70300,29925,22375
